"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","DVD","BoxOffice","Production","Website","Response"
"299","Bound for Glory","1976","PG","05 Dec 1976","147 min","Biography, Drama, Music","Hal Ashby","Robert Getchell (screenplay), Woody Guthrie (autobiography)","David Carradine, Ronny Cox, Melinda Dillon, Gail Strickland","This film is an excellent biography of Woody Guthrie, one of America's greatest folk singers. He left his dust-devastated Texas home in the 1930s to find work, and discovered the suffering and strength of America's working class.","English","USA","Won 2 Oscars. Another 5 wins & 10 nominations.","http://ia.media-imdb.com/images/M/MV5BMjE2NDg2NzY0NV5BMl5BanBnXkFtZTYwOTg1NTM5._V1_SX300.jpg","N/A","7.4","3,460","tt0074235","movie","83","fresh","7.2","18","15","3","N/A","77","3.6","1318","29 Feb 2000","N/A","United Artists","N/A","True"
"300","Network","1976","R","27 Nov 1976","121 min","Drama","Sidney Lumet","Paddy Chayefsky","Faye Dunaway, William Holden, Peter Finch, Robert Duvall","In the 1970s, terrorist violence is the stuff of networks' nightly news programming and the corporate structure of the UBS Television Network is changing. Meanwhile, Howard Beale, the aging UBS news anchor, has lost his once strong ratings share and so the network fires him. Beale reacts in an unexpected way. We then see how this affects the fortunes of Beale, his coworkers (Max Schumacher and Diana Christensen), and the network.","English","USA","Won 4 Oscars. Another 15 wins & 25 nominations.","http://ia.media-imdb.com/images/M/MV5BNzk5MjcxNTg2MF5BMl5BanBnXkFtZTgwMzY2MTUxMDE@._V1_SX300.jpg","N/A","8.1","94,042","tt0074958","movie","91","certified","8.4","56","51","5","N/A","93","4.2","35148","16 May 2000","N/A","MGM/United Artists","N/A","True"
"301","Rocky","1976","PG","03 Dec 1976","119 min","Drama, Sport","John G. Avildsen","Sylvester Stallone","Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers","Rocky Balboa, a small-time boxer gets a supremely rare chance to fight the heavy-weight champion, Apollo Creed, in a bout in which he strives to go the distance for his self-respect.","English","USA","Won 3 Oscars. Another 17 wins & 20 nominations.","http://ia.media-imdb.com/images/M/MV5BMTY5MDMzODUyOF5BMl5BanBnXkFtZTcwMTQ3NTMyNA@@._V1_SX300.jpg","N/A","8.1","325,715","tt0075148","movie","92","certified","8.3","53","49","4","This story of a down-on-his-luck boxer is thoroughly predictable, but Sylvester Stallone's script and stunning performance in the title role brush aside complaints.","68","3.2","33400992","07 Aug 2006","N/A","United Artists","http://rockythemovie.com/","True"
"302","Taxi Driver","1976","R","08 Feb 1976","113 min","Crime, Drama","Martin Scorsese","Paul Schrader","Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito","Travis Bickle is an ex-Marine and Vietnam War veteran living in New York City. As he suffers from insomnia, he spends his time working as a taxi driver at night, watching porn movies at seedy cinemas during the day, or thinking about how the world, New York in particular, has deteriorated into a cesspool. He's a loner who has strong opinions about what is right and wrong with mankind. For him, the one bright spot in New York humanity is Betsy, a worker on the presidential nomination campaign of Senator Charles Palantine. He becomes obsessed with her. After an incident with her, he believes he has to do whatever he needs to make the world a better place in his opinion. One of his priorities is to be the savior for Iris, a twelve-year-old runaway and prostitute who he believes wants out of the profession and under the thumb of her pimp and lover Matthew.","English, Spanish","USA","Nominated for 4 Oscars. Another 27 wins & 9 nominations.","http://ia.media-imdb.com/images/M/MV5BMTQ1Nzg3MDQwN15BMl5BanBnXkFtZTcwNDE2NDU2MQ@@._V1_SX300.jpg","93","8.4","455,344","tt0075314","movie","98","certified","9.0","65","64","1","A must-see film for movie lovers, this Martin Scorsese masterpiece is as hard-hitting as it is compelling, with Robert De Niro at his best.","93","4.1","254998","15 Jun 1999","N/A","Columbia Pictures","N/A","True"
"303","Annie Hall","1977","PG","20 Apr 1977","93 min","Comedy, Drama, Romance","Woody Allen","Woody Allen, Marshall Brickman","Woody Allen, Diane Keaton, Tony Roberts, Carol Kane","Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.","English, German","USA","Won 4 Oscars. Another 27 wins & 7 nominations.","http://ia.media-imdb.com/images/M/MV5BMTU1NDM2MjkwM15BMl5BanBnXkFtZTcwODU3OTYwNA@@._V1_SX300.jpg","N/A","8.1","174,019","tt0075686","movie","98","certified","8.9","65","64","1","Filled with poignant performances and devastating humor, Annie Hall represents a quantum leap for Woody Allen and remains an American classic.","93","3.9","151542","28 Apr 1998","N/A","United Artists","N/A","True"
"304","The Goodbye Girl","1977","PG","01 Feb 1978","111 min","Comedy, Drama, Romance","Herbert Ross","Neil Simon","Richard Dreyfuss, Marsha Mason, Quinn Cummings, Paul Benedict","A divorced woman and her daughter come home to find that her boyfriend has left for an out of town job with no warning. This has happened before. The second surprise comes in the form of another actor who has sublet the apartment from her boyfriend (who did not mention the pair of females who would be in residence). After some negotiation the two decide to share the apartment even though she has vowed to stay away from actors.","English, Japanese","USA","Won 1 Oscar. Another 9 wins & 9 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk0ODMzNzU1OF5BMl5BanBnXkFtZTcwMjQzMjk3OA@@._V1_SX300.jpg","N/A","7.4","9,021","tt0076095","movie","87","fresh","6.5","15","13","2","N/A","84","3.8","7360","18 Jan 2000","N/A","MGM Home Entertainment","N/A","True"
"305","Julia","1977","PG","20 Jan 1978","117 min","Drama","Fred Zinnemann","Lillian Hellman (based upon the story by), Alvin Sargent (screenplay)","Jane Fonda, Vanessa Redgrave, Jason Robards, Maximilian Schell","From ""Pentimento,"" the memoirs of late playwright Lillian Hellman, JULIA covers those years in the 1930s when Lillian attained fame with the production of her first play ""The Children's Hour"" on Broadway. Not surprisingly, it centers on Lillian's relationship with her lifelong friend, Julia. It is a relationship that goes beyond mere acquaintance and one for which the word ""love"" seems appropriate. While Julia attends the University in Vienna, studying with such luminaries as Sigmund Freud and Albert Einstein, Lillian suffers through revisions of her play with her mentor and sometimes lover Dashiell Hammett at a New England beach house. After becoming a celebrated playwright, Lillian is invited to a writers' conference in Russia. Julia, having taken up the battle against fascism, enlists Lillian to smuggle money through Nazi Germany which will assist in the Anti-Fascist cause. It is a dangerous mission especially for a Jewish intellectual on her way to communist Russia. During a brief meeting with Julia on this trip in Berlin, Lillian learns that Julia has had a child who is called Lilly. While in Moscow, Lillian learns of Julia's murder. The details of her death are shrouded in secrecy. Lillian sadly travels to London and then to Alsace to search for her namesake, the child she had promised Julia to care for.","English, French, German, Russian","USA","Won 3 Oscars. Another 21 wins & 21 nominations.","http://ia.media-imdb.com/images/M/MV5BMTg5NjQ5ODQxMF5BMl5BanBnXkFtZTcwNDk0OTgyMQ@@._V1_SX300.jpg","N/A","7.4","5,952","tt0076245","movie","74","fresh","6.6","23","17","6","N/A","72","3.7","2643","07 Feb 2006","N/A","20th Century Fox Film Corporation","N/A","True"
"306","Star Wars: Episode IV: A New Hope","1977","PG","25 May 1977","121 min","Action, Adventure, Fantasy","George Lucas","George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing","A young boy from Tatooine sets out on an adventure with an old Jedi named Obi-Wan Kenobi as his mentor to save Princess Leia from the ruthless Darth Vader and Destroy the Death Star built by the Empire which has the power to destroy the entire galaxy.","English","USA","Won 6 Oscars. Another 38 wins & 27 nominations.","http://ia.media-imdb.com/images/M/MV5BMTU4NTczODkwM15BMl5BanBnXkFtZTcwMzEyMTIyMw@@._V1_SX300.jpg","92","8.7","783,141","tt0076759","movie","94","certified","8.5","82","77","5","A legendarily expansive and ambitious start to the sci-fi saga, George Lucas opened our eyes to the possiblites of blockbuster filmmaking and things have never been the same.","96","4.1","848425","21 Sep 2004","N/A","20th Century Fox","http://www.starwars.com/episode-iv/","True"
"307","The Turning Point","1977","PG","18 Nov 1977","119 min","Drama, Romance","Herbert Ross","Arthur Laurents","Anne Bancroft, Shirley MacLaine, Tom Skerritt, Mikhail Baryshnikov","When her daughter joins a ballet company, a former dancer is forced to confront her long-ago decision to give up the stage to have a family.","English, French","USA","Nominated for 11 Oscars. Another 11 wins & 7 nominations.","http://ia.media-imdb.com/images/M/MV5BMTUyNzcwNzAxM15BMl5BanBnXkFtZTcwNzQwODcyMQ@@._V1_SX300.jpg","N/A","6.9","2,917","tt0076843","movie","56","rotten","6.0","18","10","8","N/A","69","3.6","2803","25 Jan 2005","N/A","Paramount Pictures","N/A","True"
"308","Coming Home","1978","R","15 Feb 1978","127 min","Drama, Romance, War","Hal Ashby","Waldo Salt (screenplay), Robert C. Jones (screenplay), Nancy Dowd (story)","Jane Fonda, Jon Voight, Bruce Dern, Penelope Milford","Sally Bender is the wife of a Captain in the United States Marine Corps. He is sent over to Vietnam, and Sally is alone. With nothing else to do, she decides to volunteer at a local veteran's hospital, where she meets Luke, who went to high school with Sally. Luke was wounded and is paralyzed and confined to a wheelchair. When Sally begins to fall in love with Luke, she has to make a crucial decision about her life.","English","USA","Won 3 Oscars. Another 14 wins & 11 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk4MzYxODE2MF5BMl5BanBnXkFtZTcwMDU3ODUyMQ@@._V1_SX300.jpg","N/A","7.3","8,750","tt0077362","movie","81","fresh","7.4","21","17","4","N/A","82","3.7","5018","16 Apr 2002","N/A","MGM Home Entertainment","N/A","True"
"309","The Deer Hunter","1978","R","23 Feb 1979","183 min","Drama, War","Michael Cimino","Michael Cimino (story), Deric Washburn (story), Louis Garfinkle (story), Quinn K. Redeker (story), Deric Washburn (screenplay)","Robert De Niro, John Cazale, John Savage, Christopher Walken","Michael, Steven and Nick are young factory workers from Pennsylvania who enlist into the Army to fight in Vietnam. Before they go, Steven marries the pregnant Angela, and their wedding party also serves as the men's farewell party. After some time and many horrors, the three friends fall in the hands of the Vietcong and are brought to a prison camp in which they are forced to play Russian roulette against each other. Michael makes it possible for them to escape, but they soon get separated again.","English, Russian, Vietnamese, French","UK, USA","Won 5 Oscars. Another 24 wins & 18 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk3MTQzMDUwMF5BMl5BanBnXkFtZTgwMTUxNzYxMTE@._V1_SX300.jpg","73","8.2","213,486","tt0077416","movie","93","certified","8.6","60","56","4","Its greatness is blunted by its length and one-sided point of view, but the film's weaknesses are overpowered by Michael Cimino's sympathetic direction and a series of heartbreaking performances from Robert De Niro, Meryl Streep, and Christopher Walken.","92","4.1","101327","06 Sep 2005","N/A","Universal Pictures","N/A","True"
"310","Heaven Can Wait","1978","PG","28 Jun 1978","101 min","Comedy, Romance, Sport","Warren Beatty, Buck Henry","Elaine May (screenplay), Warren Beatty (screenplay), Harry Segall (based upon a play by)","Warren Beatty, Julie Christie, James Mason, Jack Warden","Joe Pendleton is a football quarterback preparing to lead his team to the Superbowl when he is almost killed in an accident. An overanxious angel plucks him to heaven only to discover that he was not ready to die, and that his body has been cremated. Another body must be found without his death being discovered, and that of a recently murdered millionaire is chosen. His wife and accountant, the murderers, are confused by this development, as he buys the Los Angeles Rams in order to once again quarterback them into the Superbowl. At the same time, he falls in love with an English environmental activist who disapproves of his policies and actions.","English","USA","Won 1 Oscar. Another 8 wins & 13 nominations.","http://ia.media-imdb.com/images/M/MV5BOTg3MjE1NjY2OV5BMl5BanBnXkFtZTcwNTc1Mjk3OA@@._V1_SX300.jpg","N/A","6.9","13,416","tt0077663","movie","88","fresh","7.1","32","28","4","A throwback to the high-gloss screwball comedies of the 1940s, Heaven Can Wait beguiles with seamless production values and great comic relief from Charles Grodin and Dianne Cannon.","68","3.3","13041","27 Jul 1999","N/A","Paramount Home Video","N/A","True"
"311","Midnight Express","1978","R","06 Oct 1978","121 min","Biography, Crime, Drama","Alan Parker","Billy Hayes (book), William Hoffer (book), Oliver Stone (screenplay)","Brad Davis, Irene Miracle, Bo Hopkins, Paolo Bonacelli","On October 6, 1970 while boarding an international flight out of Istanbul Airport, American Billy Hayes is caught attempting to smuggle 2 kilos of hashish out of the country, the drugs strapped to his body. He is told that he will be released if he cooperates with the authorities in identifying the person who actually sold him the hash. Billy's troubles really begin when after that assistance, he makes a run for it and is recaptured. He is initially sentenced to just over four years for possession, with no time for the more harsh crime of smuggling. The prison environment is inhospitable in every sense, with a sadistic prison guard named Hamidou ruling the prison, he who relishes the mental and physical torture he inflicts on the prisoners for whatever reason. Told to trust no one, Billy does befriend a few of the other inmates, namely fellow American Jimmy Booth (in for stealing two candlesticks from a mosque), a Swede named Erich, and one of the senior prisoners having already served seven years, an Englishman named Max, the latter two also in for hash related charges. One prisoner not befriended is Rifki, who wields power in the prison as the unofficial eyes and ears for the guards. As Billy, his family and his girlfriend Susan attempt through legal and diplomatic channels for Billy's release, Max tells him that the only way out is to ""catch the midnight express"" aka escape, which is what Jimmy is continually trying to do. When Billy's situation changes, he becomes more desperate in every sense of the word. It seems as if Billy has only two options: to let the prison ultimately figuratively then literally kill him, or to somehow regain control of his life through whatever means available.","English, Maltese, French, Turkish","UK, USA","Won 2 Oscars. Another 16 wins & 12 nominations.","http://ia.media-imdb.com/images/M/MV5BMTQyMDA5MzkyOF5BMl5BanBnXkFtZTgwOTYwNTcxMTE@._V1_SX300.jpg","N/A","7.7","50,421","tt0077928","movie","95","fresh","7.8","21","20","1","N/A","90","3.9","30481","22 May 2001","N/A","Sony Pictures Home Entertainment","N/A","True"
"312","An Unmarried Woman","1978","R","26 May 1978","124 min","Comedy, Drama, Romance","Paul Mazursky","Paul Mazursky","Jill Clayburgh, Alan Bates, Michael Murphy, Cliff Gorman","Erica is unmarried only temporarily in that her successful, wealthy husband of seventeen years has just left her for a girl he met while buying a shirt in Bloomingdale's. The film shows Erica coming to terms with the break-up while revising her opinions of herself, redefining that self in its own right rather than as an extension of somebody else's personality, and finally going out with another man. Erica refuses to drop everything for Saul, an abstract expressionist painter, simply out of love for him because he expects her to. It is not so much loneliness that is her problem, and the problems that men, flitting around this newly ""available"" woman like moths round a flame, bring to her sense of independence.","English","USA","Nominated for 3 Oscars. Another 11 wins & 9 nominations.","http://ia.media-imdb.com/images/M/MV5BMTI4OTIyNTI2OV5BMl5BanBnXkFtZTcwMDkyOTczMQ@@._V1_SX300.jpg","N/A","7.2","3,088","tt0078444","movie","88","fresh","6.9","17","15","2","N/A","75","3.5","1732","10 Jan 2006","N/A","20th Century Fox Film Corporation","N/A","True"
"313","All That Jazz","1979","R","20 Dec 1979","123 min","Drama, Music, Musical","Bob Fosse","Robert Alan Aurthur, Bob Fosse","Roy Scheider, Jessica Lange, Leland Palmer, Ann Reinking","Choreographing and picking dancers for his current show whilst editing his feature film about a stand-up comedian is getting to Joe Gideon. Without the chemical substances, he would not have the energy to keep up with his girlfriend, his ex-wife, and his special dancing daughter. They attempt to bring him back from the brink, but it's too late for his exhausted body and stress-ravaged heart. He chain-smokes, uses drugs, sleeps with his dancers and overworks himself into open-heart surgery. Scenes from his past life start to encroach on the present and he becomes increasingly aware of his mortality.","English, Spanish","USA","Won 4 Oscars. Another 7 wins & 12 nominations.","http://ia.media-imdb.com/images/M/MV5BMTI1NDM2NzEzOV5BMl5BanBnXkFtZTYwMTE2Mzc5._V1_SX300.jpg","N/A","7.8","17,940","tt0078754","movie","85","fresh","7.4","34","29","5","Director Bob Fosse and star Roy Scheider are at the top of their games in this dazzling, self-aware stage drama about a death obsessed director-choreographer.","86","3.9","11397","19 Aug 2003","N/A","20th Century Fox Film Corporation","N/A","True"
"314","Apocalypse Now","1979","R","15 Aug 1979","153 min","Drama, War","Francis Ford Coppola","John Milius, Francis Ford Coppola, Michael Herr (narration)","Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest","It is the height of the war in Vietnam, and U.S. Army Captain Willard is sent by Colonel Lucas and a General to carry out a mission that, officially, 'does not exist - nor will it ever exist'. The mission: To seek out a mysterious Green Beret Colonel, Walter Kurtz, whose army has crossed the border into Cambodia and is conducting hit-and-run missions against the Viet Cong and NVA. The army believes Kurtz has gone completely insane and Willard's job is to eliminate him! Willard, sent up the Nung River on a U.S. Navy patrol boat, discovers that his target is one of the most decorated officers in the U.S. Army. His crew meets up with surfer-type Lt-Colonel Kilgore, head of a U.S Army helicopter cavalry group which eliminates a Viet Cong outpost to provide an entry point into the Nung River. After some hair-raising encounters, in which some of his crew are killed, Willard, Lance and Chef reach Colonel Kurtz's outpost, beyond the Do Lung Bridge. Now, after becoming prisoners of Kurtz, will Willard & the others be able to fulfill their mission?","English, French, Vietnamese","USA","Won 2 Oscars. Another 20 wins & 30 nominations.","http://ia.media-imdb.com/images/M/MV5BMTcyMzQ5NDM4OV5BMl5BanBnXkFtZTcwODUwNDg3OA@@._V1_SX300.jpg","90","8.5","412,005","tt0078788","movie","99","certified","8.9","77","76","1","Francis Ford Coppola's haunting, hallucinatory Vietnam War epic is cinema at its most audacious and visionary.","94","4.1","281795","20 Nov 2001","N/A","United Artists","http://www.zoetrope.com/zoe_films.cgi?page=films&action=show_one&film_id=13","True"
"315","Breaking Away","1979","PG","20 Jul 1979","101 min","Comedy, Drama, Sport","Peter Yates","Steve Tesich","Dennis Christopher, Dennis Quaid, Daniel Stern, Jackie Earle Haley","Best friends Dave, Mike, Cyril and Moocher have just graduated from high school. Living in the college town of Bloomington, Indiana, they are considered ""cutters"": the working class of the town so named since most of the middle aged generation, such as their parents, worked at the local limestone quarry, which is now a swimming hole. There is great animosity between the cutters and the generally wealthy Indiana University students, each group who have their own turf in town. The dichotomy is that the limestone was used to build the university, which is now seen as being too good for the locals who built it. Although each of the four is a totally different personality from the other three, they also have in common the fact of being unfocused and unmotivated in life. The one slight exception is Dave. Although he has no job and doesn't know what to do with his life, he is a champion bicycle racer. He idolizes the Italian cycling team so much he pretends to be Italian, much to the chagrin of his parents, especially his used car salesman father, Ray Stoller, who just doesn't understand his son. Dave crosses the unofficial line when he meets and wants to date a IU co-ed named Katherine Bennett, who, intrigued by Dave, in turn is already dating Rod, one of the big men on campus. Dave passes himself off to her as an Italian exchange student named Enrico Gismondi. Beyond Katarina as he calls her, Dave's main immediate focus is that the Italian cycling team have announced that they will be in Indianapolis for an upcoming race, which he intends to enter to be able to race his idols. After an incident at the race, Dave, with a little help from his parents and unwittingly by actions of his friends, has to reexamine his life, what he really wants to get out of it and how best to start achieving it.","English, Italian, French","USA","Won 1 Oscar. Another 10 wins & 14 nominations.","http://ia.media-imdb.com/images/M/MV5BMzI3MDc4MzgwM15BMl5BanBnXkFtZTgwMzc1NzkzMTE@._V1_SX300.jpg","N/A","7.7","16,483","tt0078902","movie","94","fresh","8.2","35","33","2","At once a touching, funny coming-of-age story and a compelling sports film, Breaking Away is a delightful treat.","88","3.9","9058","29 Jan 2002","N/A","Twentieth Century Fox","N/A","True"
"316","Kramer vs. Kramer","1979","APPROVED","19 Dec 1979","105 min","Drama","Robert Benton","Avery Corman (from the novel by), Robert Benton (written for the screen by)","Dustin Hoffman, Meryl Streep, Jane Alexander, Justin Henry","Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy. When he has learned to adjust his life to these new responsibilities, Joanna resurfaces and wants Billy back. Ted, however, refuses to give him up, so they go to court to fight for the custody of their son.","English","USA","Won 5 Oscars. Another 38 wins & 17 nominations.","http://ia.media-imdb.com/images/M/MV5BMjM1OTIyNzQ5Nl5BMl5BanBnXkFtZTgwNzQzMzcxMTE@._V1_SX300.jpg","77","7.8","90,192","tt0079417","movie","88","certified","7.8","41","36","5","The divorce subject isn't as shocking, but the film is still a thoughtful, well-acted drama that resists the urge to take sides or give easy answers.","89","3.7","42619","28 Aug 2001","N/A","Sony Pictures Home Entertainment","N/A","True"
"317","Norma Rae","1979","PG","02 Mar 1979","114 min","Drama","Martin Ritt","Irving Ravetch (screenplay), Harriet Frank Jr. (screenplay)","Sally Field, Beau Bridges, Ron Leibman, Pat Hingle","Norma Rae is a southern textile worker employed in a factory with intolerable working conditions. This concern about the situation gives her the gumption to be the key associate to a visiting labor union organizer. Together, they undertake the difficult, and possibly dangerous, struggle to unionize her factory.","English","USA","Won 2 Oscars. Another 10 wins & 6 nominations.","http://ia.media-imdb.com/images/M/MV5BMTg5NzUzODg5NF5BMl5BanBnXkFtZTcwMTg4OTQyMQ@@._V1_SX300.jpg","N/A","7.3","7,026","tt0079638","movie","90","fresh","7.5","21","19","2","N/A","79","3.6","6992","17 Apr 2001","N/A","20th Century Fox Film Corporat","N/A","True"
"318","Coal Miner's Daughter","1980","PG","07 Mar 1980","124 min","Biography, Drama, Music","Michael Apted","Thomas Rickman (screenplay), Loretta Lynn (autobiography), George Vecsey (autobiography)","Sissy Spacek, Tommy Lee Jones, Levon Helm, Phyllis Boyens","At only thirteen years of age, Loretta Webb marries Doolittle Lynn and is soon responsible for a sizeable family. Loretta appears destined to a life of homemaking, but Doolittle recognises his wife's musical talent, and buys her a guitar as an anniversary present one year. At eighteen, the mother of four children and busy housewife still finds time to write and sing songs at small fairs and local honky-tonks. This gift sets Loretta Lynn on the gruelling, tumultuous path to superstardom and country music greatness.","English","USA","Won 1 Oscar. Another 8 wins & 13 nominations.","http://ia.media-imdb.com/images/M/MV5BMTkwMjUxNTczNV5BMl5BanBnXkFtZTgwNjg2MDM0MDE@._V1_SX300.jpg","N/A","7.5","12,406","tt0080549","movie","100","fresh","8.3","14","14","0","N/A","86","3.6","36064","06 May 2003","N/A","MCA Universal Home Video","N/A","True"
"319","The Elephant Man","1980","PG","10 Oct 1980","124 min","Biography, Drama","David Lynch","Christopher De Vore (screenplay), Eric Bergren (screenplay), David Lynch (screenplay), Frederick Treves (book), Ashley Montagu (in part on the book ""The Elephant Man: A Study in Human Dignity"")","Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud","John Merrick (whose real name was Joseph, as this is based on a true story) is an intelligent and friendly man, but he is hated by his Victorian-era English society because he is severely deformed. Once he is discovered by a doctor, however, he is saved from his life in a freak show and he is treated like the human being that he really is.","English","USA, UK","Nominated for 8 Oscars. Another 11 wins & 13 nominations.","http://ia.media-imdb.com/images/M/MV5BMTExNTk0MjIzNDZeQTJeQWpwZ15BbWU3MDY5ODI5Nzg@._V1_SX300.jpg","N/A","8.2","148,499","tt0080678","movie","90","certified","8.4","41","37","4","David Lynch's relatively straight second feature finds an admirable synthesis of compassion and restraint in treating its subject, and features outstanding performances by John Hurt and Anthony Hopkins.","93","3.9","63426","11 Dec 2001","N/A","Paramount","N/A","True"
"320","Ordinary People","1980","R","27 Feb 1981","124 min","Drama","Robert Redford","Judith Guest (novel), Alvin Sargent (screenplay)","Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton","Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together.","English","USA","Won 4 Oscars. Another 20 wins & 9 nominations.","http://ia.media-imdb.com/images/M/MV5BNTQwNTc4NzYxNl5BMl5BanBnXkFtZTgwMDEzMjEyMDE@._V1_SX300.jpg","85","7.8","32,817","tt0081283","movie","93","certified","7.8","40","37","3","Though shot through with bitterness and sorrow, Robert Redford's directorial debut is absorbing and well-acted.","88","3.8","22628","14 Aug 2001","N/A","Paramount Pictures","N/A","True"
"321","Raging Bull","1980","R","19 Dec 1980","129 min","Biography, Drama, Sport","Martin Scorsese","Jake LaMotta (based on the book by), Joseph Carter (with), Peter Savage (with), Paul Schrader (screenplay), Mardik Martin (screenplay)","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent","When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.","English","USA","Won 2 Oscars. Another 23 wins & 24 nominations.","http://ia.media-imdb.com/images/M/MV5BMjIxOTg3OTc5MF5BMl5BanBnXkFtZTcwNzkwNjMwNA@@._V1_SX300.jpg","92","8.3","215,654","tt0081398","movie","98","certified","9.1","59","58","1","Arguably Martin Scorsese's and Robert De Niro's finest film, Raging Bull is often painful to watch, but it's a searing, powerful work about an unsympathetic hero.","93","4.1","129370","01 Aug 2000","N/A","United Artists","N/A","True"
"322","Tess","1979","PG","12 Dec 1980","186 min","Drama, Romance","Roman Polanski","Gérard Brach (screenplay), Roman Polanski (screenplay), John Brownjohn (screenplay), Thomas Hardy (novel)","John Collin, Tony Church, Nastassja Kinski, Brigid Erin Bates","A strong-willed young peasant girl becomes the affection of two men.","English","France, UK","Won 3 Oscars. Another 14 wins & 12 nominations.","http://ia.media-imdb.com/images/M/MV5BMTI2NDc5NzM1NV5BMl5BanBnXkFtZTYwNzg4Mzg4._V1_SX300.jpg","N/A","7.3","10,223","tt0080009","movie","85","fresh","7.1","20","17","3","N/A","78","3.6","6170","28 Sep 2004","N/A","Criterion Collection","N/A","True"
"323","Atlantic City","1981–","N/A","N/A","60 min","Musical","N/A","N/A","Bob Eubanks","N/A","English","USA","N/A","N/A","N/A","N/A","N/A","tt1614571","series","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"324","Chariots of Fire","1981","PG","09 Apr 1982","125 min","Drama, History, Sport","Hugh Hudson","Colin Welland (original screenplay)","Nicholas Farrell, Nigel Havers, Ian Charleson, Ben Cross","The story, told in flashback, of two young British sprinters competing for fame in the 1924 Olympics. Eric, a devout Scottish missionary runs because he knows it must please God. Harold, the son of a newly rich Jew runs to prove his place in Cambridge society. In a warmup 100 meter race, Eric defeats Harold, who hires a pro trainer to prepare him. Eric, whose qualifying heat is scheduled for a Sunday, refuses to run despite pressure from the Olympic committee. A compromise is reached when a nobleman allows Eric to compete in his 400 meter slot. Eric and Harold win their respective races and go on to achieve fame as missionary and businessman/athletic advocate, respectively.","English, French","UK","Won 4 Oscars. Another 17 wins & 16 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk3MTE3Mzg4MV5BMl5BanBnXkFtZTcwOTY0NTM1Mg@@._V1_SX300.jpg","N/A","7.3","36,982","tt0082158","movie","83","certified","7.7","63","52","11","Decidedly slower and less limber than the Olympic runners at the center of its story, the film nevertheless manages to make effectively stirring use of its spiritual and patriotic themes.","81","3.6","36684","27 Aug 1997","N/A","20th Century Fox","N/A","True"
"325","On Golden Pond","1981","PG","12 Feb 1982","109 min","Drama","Mark Rydell","Ernest Thompson (screenplay), Ernest Thompson (based on his play)","Katharine Hepburn, Henry Fonda, Jane Fonda, Doug McKeon","The loons are back again on Golden Pond and so are Norman Thayer, a retired professor, and Ethel who have had a summer cottage there since early in their marriage. This summer their daughter Chelsea -- whom they haven't seen for years -- feels she must be there for Norman's birthday. She and her fiance are on their way to Europe the next day but will be back in a couple of weeks to pick up the fiance's son. When she returns Chelsea is married and her stepson has the relationship with her father that she always wanted. Will father and daughter be able to communicate at last?","English","UK, USA","Won 3 Oscars. Another 11 wins & 23 nominations.","http://ia.media-imdb.com/images/M/MV5BNDg3MTIzMTYxNl5BMl5BanBnXkFtZTcwMjAxNzY0MQ@@._V1_SX300.jpg","N/A","7.7","20,289","tt0082846","movie","92","fresh","7.6","25","23","2","N/A","87","3.7","20281","20 Mar 2001","N/A","Twentieth Century Fox Home Entertainment","N/A","True"
